,Name,Author,Rating,Number of Reviews,Price,Type
0,"PW Physics Med Easy Notes | Notes, Formulas, Mnemonics, Tips & Tricks for NEET/JEE & Board Exams | MR Sir Physics Handwritten Notes",Dr. Manish Raj (MR. Sir),4.9 out of 5 stars,"1,096",₹421.00,Paperback
1,Don't Believe Everything You Think (English),Joseph Nguyen,4.5 out of 5 stars,"2,992",₹169.00,Paperback
2,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,4.4 out of 5 stars,"7,691",₹139.00,Paperback
3,Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,4.6 out of 5 stars,"85,473",₹449.00,Paperback
4,The Psychology Of Money,Morgan Housel,4.6 out of 5 stars,"55,388",₹250.00,Paperback
5,BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir,Aditya Ranjan Sir,4.8 out of 5 stars,131,₹120.00,Paperback
6,The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"78,522",₹104.00,Paperback
7,Ikigai,Francesc Miralles,4.6 out of 5 stars,"51,013",₹354.00,Hardcover
8,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"73,465",₹398.00,Board book
9,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.4 out of 5 stars,"4,516",₹85.00,Paperback
10,"NTA UGC NET /SET/JRF Paper 1, Teaching and Research Aptitude – 2023, Includes latest 2022 paper and 2600+ Practice Questions with Solutions | Includes NEP - 2020| 7th Edition - By Pearson",KVS Madaan,4.4 out of 5 stars,673,₹319.00,Paperback
11,"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",Maple Press,4.5 out of 5 stars,"1,881",₹199.00,Product Bundle
12,How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"89,463",₹89.00,Paperback
13,Diary of a Wimpy Kid,Jeff Kinney,4.7 out of 5 stars,455,₹412.00,Hardcover
14,Indian Polity for UPSC (English| 7th Edition) |Civil Services Exam| State Administrative Exams,M Laxmikanth,4.6 out of 5 stars,560,₹669.00,Paperback
15,SSC GD (COMBO) MATH +REASONING+GK+HINDI,Ankit Bhati,4.3 out of 5 stars,16,₹469.00,Paperback
16,"Friends, Lovers and the Big Terrible Thing: 'Funny, fascinating and compelling' The Times",Matthew Perry,4.4 out of 5 stars,"19,274","₹1,499.00",Paperback
17,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old [Paperback] Maple Press",Maple Press,4.3 out of 5 stars,"3,276",₹177.00,Paperback
18,"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Murty Sudha,4.6 out of 5 stars,"20,171",₹162.00,Paperback
19,Colouring Books for Kids (Pack of 12 Books),Wonder House Books,4.5 out of 5 stars,"3,913",₹328.00,Paperback
